_id	content	name
85	中国昨天在安理会支持俄罗斯提出叙利亚化学武器调查新草案，法国不反对。要查就查到底，现在isis跑了，可以实地调查了。美国代表黑莉今天却表示，反对成立国际调查叙利亚化武机制提议，大讲全人类禁止化武的重要性[doge]奇怪，现在是调查最方便时刻，凶手即将水落石出，美国怎么会反对国际调查？ ?	Brunie邊
86	#每日旅游播报# 【国家旅游局再次提示近期暂勿前往叙利亚、伊拉克旅游】近期，国家旅游局根据外交部的安全提醒，先后发布了暂勿前往叙利亚和伊拉克旅游的安全提示，其中暂勿前往叙利亚有效期至2018年6月30日，暂勿前往伊拉克有效期至2018年5月5日。但国内仍有个别游客自行前往、个别旅行社组织赴上述两国旅游。为此，国家旅游局再次提示中国游客暂勿前往上述两国旅游，要求国内旅行社不得组团赴上述两国旅游，已在当地的中国游客应做好安全防范并尽快撤离。（国家旅游局综合协调司）	浦江县旅游
87	:#黄金外汇日内行情分析# 昨晚多重消息影响金价重回1340上方，美朝核事件发酵、土耳其对叙利亚库尔德武装势力战争升级、久提特朗普‘通俄门’事件发酵，美指一路狂跌再次压境90关口，从而提振金价重回高位，本次若无太大的变化破位1344高点就在今朝，距离前期的高点1357也是指日可待，这次不像上次的上涨多头动能疲软，从1236一线上涨基本无太大的回调，本次震荡调整蓄势，多头动能重新展露獠牙。昨晚黄金冲高基本没有回落调整，早盘小幅会有一波延续再行调整，所以范范不建议高位追多，等待回落我们再行跟多，短线我们看1338一线支撑，上方先看1344破位情况。操作策略：??回落1336附近做多，止损1332，目标看1342-44破位。	范范LINLIN
88	:【叙利亚之战20180124】不同视角下的阿夫林库尔德族（YPG/SDF）保卫战。土军多头出击，希望能在土叙边境建立一块新的缓冲区。但在得到美欧军援、训练多年后，库族已非吴下阿蒙，土军这次的战斗怕是不会太轻松。 ?	红袍_萤火虫
89	:政府停摆期间。美军在叙利亚杀死159名ISIS成员...问：不停摆，能杀多少？ ?	毳毛求疵
90	:美国从没有占过中国一寸领土，却无数次帮助中国，不知为何仇美。别说啥叙利亚，伊拉克。德国欺负过多少国家？咋不仇德？ ?	老婷迷1
91	#土耳其入侵叙利亚# 【黄磊上报了！】英国媒体Times报道”英国指挥官黄磊率领战士为阿芙琳库尔德复仇”！[酷] ?	九州纹龙
92	#前线战报#  【真.吃鸡，黄磊准备吃土鸡】黄磊准备前往阿芙琳， 这几位帅吧？ 马上就要真.吃鸡! 吃土鸡！[酷] 草蜢一号的秒拍视频 ?	AliceSakuya
93	#土耳其入侵叙利亚# 【黄磊上报了！】英国媒体Times报道”英国指挥官黄磊率领战士为阿芙琳库尔德复仇”！[酷] ?	AliceSakuya
94	:#原创首发# #微博时评# 土耳其打击叙利亚库尔德武装，现在越来越像一出专门为美国挖坑的大戏！ 占豪原创丨终于报复了特朗普：普京操盘，给美国挖下大坑······· ?	新财迷圈
95	:【叙利亚之战20180124】今日叙利亚境内ISIS分布：①全国 ②幼发拉底河谷 ③伊德利卜省东南 ④大马士革南郊 ⑤戈兰高地东 ?	红袍_萤火虫
96	":#突发新闻# #叙利亚战争# 突发：报道说，枪手袭击了阿富汗城市贾拉拉巴德的拯救儿童办公室。到目前为止, 没有任何组声称对中的攻击负责。 ?"	小小蜗牛驮肥象
97	:#叙利亚战争# #突发新闻# SDF在Bazri 村(Dara Azza镇)对土耳其黑帮进行了具体的抵抗行动，导致8名土耳其雇佣兵被杀。 ?	小小蜗牛驮肥象
98	:#财富快讯#据国际文传电讯社：克里姆林宫称俄罗斯总统普京和土耳其总统埃尔多安讨论了叙利亚局势的解决方案。#贵金属投资# ?	缠论路路通
99	:俄军叙利亚订制版本6B52系统- 包括6B45 6B47 6SH122罩衣等  PS:东西实在太多了 摆不开 防弹衣就暂时不放在上面了@战忽局FoolYou娘 @NeptuneSpear @Balkan_Combine @战甲装研菌 @壹甲颜艺三桶君 @顶生植物 @哥布林机车 @头盔配面罩 @Akula_941弱気探员 |@PK-King-chn |@ATN09-Glaz莉 @ATN贵州多彩尼龙 @玩渣寨的肾好-ATN48 @坏人王谷越	苏联余晖
